10,100,12,15,40,algorithm,algorithms,assignments,attendance,chong,code,coding,content,cs2040,data,data structures,day,did,expected,final,finals,grade,java,just,kattis,lab,labs,lecture,lectures,like,lot,marks,midterm,midterms,module,prof,prof chong,questions,quite,quiz,quizzes,really,structures,tha,thas,time,tutorial,visualgo,week,weeks
0.0,0.0,0.0,0.0,0.0,0.0,0.2120893285400575,0.0,0.0,0.0,0.0,0.0,0.0,0.2855258369922464,0.2360873955636024,0.2360873955636024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2176303566591398,0.7509059760520679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2360873955636024,0.0,0.30831571657474255,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.10325220219493401,0.0909928793258817,0.27297863797764504,0.12316654314717247,0.1960003167764637,0.21817790001940954,0.09322626496769185,0.21217893679936642,0.0,0.0,0.10056050235764168,0.0,0.0,0.0,0.10608946839968321,0.0,0.09555894419034502,0.09555894419034502,0.22768887075624036,0.15179258050416022,0.20650440438986803,0.0,0.0,0.08679250682507407,0.10056050235764168,0.0,0.0,0.0,0.12316654314717247,0.10056050235764168,0.09322626496769185,0.1960003167764637,0.0,0.3242483787749523,0.22454065314835706,0.09322626496769185,0.31826840519904964,0.0,0.09322626496769185,0.10325220219493401,0.0,0.11565709143144322,0.4273905141653449,0.09555894419034502,0.08481202115138638,0.08481202115138638,0.0,0.0
0.49071150406335934,0.27239377247614405,0.0,0.4672639809008122,0.2336319904504061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24535575203167967,0.19487020842466804,0.3897404168493361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23936639886571437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23936639886571437,0.0,0.0,0.0,0.0,0.0,0.0,0.21776210910697374,0.0,0.0
0.27333838568802626,0.2275950535810769,0.07383607705648051,0.06506938454264245,0.0,0.0880769046787571,0.07008031879687897,0.0,0.06666648785705122,0.07586501786035897,0.0,0.0,0.0,0.0,0.23402987871542877,0.23402987871542877,0.0,0.14767215411296103,0.13666919284401313,0.06833459642200657,0.16282125367477773,0.2713687561246296,0.07383607705648051,0.07191123136433715,0.08270686468205368,0.3103284039289819,0.0,0.0,0.0,0.07586501786035897,0.1761538093575142,0.0,0.0,0.14016063759375794,0.29534430822592206,0.05796783935771811,0.08028497511788664,0.3333324392852561,0.0,0.06506938454264245,0.0,0.14767215411296103,0.23402987871542877,0.24812059404616105,0.0,0.0,0.060649427285114785,0.060649427285114785,0.2408549253536599,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6165315089955926,0.6165315089955926,0.0,0.4896711108807982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2100022520691009,0.0,0.18152728811100538,0.03999355527123493,0.03999355527123493,0.21653861213829234,0.21536711334590747,0.0,0.081950363772161,0.0,0.04794721283705061,0.05598081760278279,0.0,0.0,0.19178885134820245,0.14384163851115184,0.0,0.0,0.04200045041382018,0.0,0.033358241892834435,0.033358241892834435,0.18152728811100538,0.0,0.0508340686979231,0.2670317349211765,0.13259626595856783,0.0,0.0,0.0932577372992708,0.16240395910371924,0.08839751063904522,0.0,0.08614684533836298,0.27229093216650807,0.21377242187877185,0.0,0.2868262732025635,0.1398866059489062,0.0,0.081950363772161,0.045381822027751345,0.14384163851115184,0.0,0.0,0.12600135124146053,0.03727691969648802,0.11183075908946405,0.5428005464682054,0.0508340686979231
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10100579524823022,0.0,0.0,0.27599081884910576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32891868642205263,0.0,0.11186837526360874,0.10895205889365156,0.12530842569075012,0.18807030779345624,0.3268561766809547,0.34482721559913093,0.0,0.1149424051997103,0.13344452491866926,0.10895205889365156,0.0,0.31853417926438315,0.0,0.2634796537820926,0.0,0.20201159049646045,0.0,0.09858603840261175,0.10100579524823022,0.3356051257908262,0.0,0.0,0.0,0.0,0.18377880194973553,0.09188940097486777,0.2432780852549086,0.12530842569075012
0.061385432019665544,0.13630012147223364,0.06632744943364782,0.05845227001468792,0.05845227001468792,0.0791200815948515,0.31476813142024435,0.2803075057664363,0.11977391753559753,0.06815006073611682,0.2803075057664363,0.0,0.12919669495390104,0.08475149108247189,0.21023062932482722,0.07007687644160908,0.2726002429444673,0.0,0.061385432019665544,0.18415629605899664,0.048754479293259004,0.146263437879777,0.13265489886729565,0.2583933899078021,0.22288841459513828,0.05575402253204516,0.0,0.06815006073611682,0.14015375288321816,0.0,0.0,0.0,0.059886958767798766,0.12590725256809773,0.2653097977345913,0.0,0.0,0.29943479383899385,0.06815006073611682,0.11690454002937584,0.11977391753559753,0.06632744943364782,0.07007687644160908,0.0,0.0,0.18415629605899664,0.16344537718421814,0.10896358478947878,0.1442410767121307,0.0
0.0735221473108364,0.0,0.23832380163670353,0.0700090602163703,0.0700090602163703,0.09476317267586384,0.07540039441156646,0.08393200574319806,0.0,0.0,0.08393200574319806,0.0,0.3094811953243515,0.0,0.0,0.0,0.0816242329788938,0.0,0.0735221473108364,0.0,0.11678777490769353,0.0,0.0,0.0,0.0,0.0,0.3094811953243515,0.1632484659577876,0.0,0.0,0.0,0.15474059766217574,0.07172740599289955,0.07540039441156646,0.3972063360611726,0.12473681700640107,0.0,0.07172740599289955,0.1632484659577876,0.0,0.1434548119857991,0.07944126721223452,0.0,0.0,0.0,0.5881771784866912,0.19576069929366244,0.06525356643122082,0.0,0.0
0.0634737482581493,0.0,0.2057516754109224,0.18132240256162419,0.12088160170774946,0.0,0.0,0.0,0.0,0.0,0.07246087333143059,0.3384070683808854,0.13359193250707538,0.0,0.0,0.0,0.0,0.1371677836072816,0.1269474965162986,0.0634737482581493,0.0,0.10082618768981129,0.0,0.13359193250707538,0.0,0.17295227910644104,0.20038789876061308,0.28187403145137513,0.21738261999429176,0.21140552358853135,0.08181172594349365,0.13359193250707538,0.12384859468141077,0.0,0.0,0.21537764090903205,0.0,0.3715457840442323,0.07046850786284378,0.18132240256162419,0.0,0.0,0.0,0.0,0.0,0.31736874129074655,0.11267049726093246,0.1690057458913987,0.22372218025875687,0.07682367326250676
0.0,0.0,0.11519294915200262,0.1015158795508468,0.1015158795508468,0.0,0.0,0.3651140877689628,0.4160301929359276,0.1183583350198733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10660999344455198,0.0,0.0,0.0,0.0,0.0,0.48414874515703726,0.22437992776006882,0.2367166700397466,0.4868187836919504,0.0,0.0,0.0,0.1040075482339819,0.0,0.0,0.0,0.0,0.0,0.0,0.1015158795508468,0.1040075482339819,0.0,0.0,0.0,0.0,0.0,0.09462022729089614,0.0,0.12525398727982395,0.0
0.11992035226835619,0.13313548543515694,0.38872469441592267,0.3425707002665145,0.11419023342217151,0.0,0.0,0.2737992853435201,0.11699298930427368,0.13313548543515694,0.0,0.0,0.12619698730649728,0.0,0.0,0.0,0.13313548543515694,0.1295748981386409,0.11992035226835619,0.11992035226835619,0.0,0.19048996281837205,0.0,0.0,0.0,0.10891903506158875,0.0,0.0,0.0,0.13313548543515694,0.0,0.25239397461299456,0.0,0.12298391967226102,0.38872469441592267,0.20345546999599637,0.1408920664217551,0.0,0.0,0.0,0.11699298930427368,0.1295748981386409,0.0,0.0,0.0,0.0,0.3193009573067199,0.10643365243557332,0.0,0.0
0.20707077981140223,0.03284140356275231,0.06392618027364633,0.08450416190285173,0.0563361079352345,0.38127838794387947,0.24269800193295554,0.2701594633697928,0.057718856294338594,0.03284140356275231,0.2701594633697928,0.0,0.03112983871272067,0.16336642351424313,0.10130979876367231,0.0337699329212241,0.09852421068825691,0.0,0.029581539973057465,0.05916307994611493,0.09397881748992871,0.04698940874496436,0.41552017177870115,0.06225967742544134,0.07160637661571147,0.10747109155553852,0.03112983871272067,0.06568280712550462,0.0337699329212241,0.06568280712550462,0.03812783879438794,0.15564919356360335,0.028859428147169297,0.15168625120809723,0.15981545068411582,0.025093847727179708,0.03475477027798549,0.40403199406037016,0.0,0.02816805396761725,0.057718856294338594,0.03196309013682316,0.0337699329212241,0.035803188307855734,0.0,0.20707077981140223,0.10501874900953624,0.1312734362619203,0.0,0.0
